Claim Number;date_of_loss;dayofweek;isweekend;month;season;Notifier;Loss_code;Loss_description;Notification_period;Inception_to_loss;Location_of_incident;Weather_conditions;Vehicle_mobile;Time_hour;Main_driver;Vechile_registration_present;Incident_details_present;Injury_details_present;TP_type_insd_pass_back;TP_type_insd_pass_front;TP_type_driver;TP_type_pass_back;TP_type_pass_front;TP_type_bike;TP_type_cyclist;TP_type_pass_multi;TP_type_pedestrian;TP_type_other;TP_type_nk;TP_injury_whiplash;TP_injury_traumatic;TP_injury_fatality;TP_injury_unclear;TP_injury_nk;TP_region_eastang;TP_region_eastmid;TP_region_london;TP_region_north;TP_region_northw;TP_region_outerldn;TP_region_scotland;TP_region_southe;TP_region_southw;TP_region_wales;TP_region_westmid;TP_region_yorkshire;sum_TP;Incurred;Capped Incurred
1;2003-04-15;2;0;4;2;3;LD003;Head on collision;22;13;7;1;1;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.0
2;2003-04-20;7;1;4;2;0;LD003;Head on collision;1;9;7;2;1;18;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2801;4074.6705830983683
3;2003-04-24;4;0;4;2;0;LD003;Head on collision;5;17;7;2;1;16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1220;1775.8292350602244
4;2003-05-13;2;0;5;2;0;LD003;Head on collision;1;23;7;0;1;14;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3529;5134.404835316737
5;2003-06-11;3;0;6;1;0;LD003;Head on collision;1;48;5;0;0;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3155;4590.573793569792
6;2003-06-24;2;0;6;1;3;LD003;Head on collision;16;23;5;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10502;15275.910141719298
7;2003-07-16;3;0;7;1;2;LD003;Head on collision;5;4;7;1;0;18;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;91;132.572568766976
8;2003-07-17;4;0;7;1;2;LD003;Head on collision;0;40;7;2;1;7;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;9129;13280.085763020545
9;2003-07-20;7;1;7;1;3;LD003;Head on collision;4;26;4;2;1;22;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;81;117.84698500352002
10;2003-07-29;2;0;7;1;0;LD003;Head on collision;2;85;7;0;0;22;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;446;649.575966531072
11;2003-07-30;3;0;7;1;2;LD003;Head on collision;0;109;4;2;1;7;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;27063;39365.63225951335
12;2003-08-12;2;0;8;1;2;LD003;Head on collision;1;22;7;1;0;23;2;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;206;299.69525001344005
13;2003-08-13;3;0;8;1;2;LD003;Head on collision;0;46;7;1;1;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3522;5123.402962390016
14;2003-08-19;2;0;8;1;0;LD003;Head on collision;2;7;5;1;1;16;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4721;6868.236536224002
15;2003-08-27;3;0;8;1;3;LD003;Head on collision;0;57;4;1;0;18;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6573;9561.875862747906
16;2003-08-28;4;0;8;1;2;LD003;Head on collision;6;104;4;2;1;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1133;1648.546028277248
17;2003-08-29;5;0;8;1;4;LD003;Head on collision;61;55;8;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;424;617.0146541575681
18;2003-08-30;6;1;8;1;3;LD003;Head on collision;2;27;7;1;0;13;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;880;1280.1102299197441
19;2003-09-08;1;0;9;3;3;LD003;Head on collision;0;128;4;2;0;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;12351;17966.523953188353
20;2003-09-10;3;0;9;3;0;LD003;Head on collision;0;18;5;1;0;11;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;23093;33590.812632621826
21;2003-09-10;3;0;9;3;2;LD003;Head on collision;0;75;4;2;0;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5996;8722.581060574721
